Name;Name2;Name3;;Stadt;Land
Forstbotanischer Garten;Fachhochschule Eberswalde;;;Eberswalde;Deutschland
North American;Plant Preservation Council;Barry Glick, Executive Director;;Renick / West Virginia 24966;U.S.A.
Botanischer Garten;der Universität-GH-Essen;;;Essen;Deutschland
St. Andrews Botanic Garden;;;;St Andrews /Fife. KY16 8RT, Scotland;United Kingdom
North Coast Regional;Botanic Garden;;;Coffs Harbour 2450 /N.S.W.;AUSTRALIA
Belarus;Hortus Botanicus;;;Vitebsk;REPUBLIC OF BELARUS
Hortus Botanicus Central.;National Academy of Sciences of Belarus;;;Minsk;REPUBLIC OF BELARUS
Istanbul Üniversitesi;Botanik Bahcesi;Botanik Ana Bilim Dali;;Istanbul;TÜRKEI
Karaca Arboretum;;;;Yalova / TÜRKIYE;TÜRKEI
Kruidtuin van de Stad Leuven;Hortus Botanicus Lovaniensis;;;Leuven;BELGIUM
Hortus Botanicus;Turkmenisitan,;Asgabat Botanika Bagy;;Asgabat/Turkmeniya;TURKMENISTAN
Botanical Garden of the Jurij;Fedkovich National University;;;Chernovtsi / Ukraine;UKRAINA
Botanischer Garten;Karl-Franzens-Universität Graz;;;Graz;ÖSTERREICH
Dulcamara;Hortus Botanicus Destelbergensis;Dr.G.Peleman;;Destelbergen;BELGIUM
Jardin Botanique;Monsieur William Aviolat;;;Saint-Triphon;SCHWEIZ
Plantentuin;Stad Antwerpen;;;Antwerpen 1;BELGIUM
Hortus Botanicus;Instituti Silvitechnici;Superioris;;Sofia;BULGARIA
Ing. Carlos Eralio R. Ruiz;;;;DBO- BUENOS AIRES;ARGENTINA
Landesmuseum Kärnten;Kärntner Botanikzentrum;;;Klagenfurt am Wörthersee;ÖSTERREICH
M.M.Gryshko's;National Botanical Garden;Academy of Sciences of Ukraine;;Kyiv;UKRAINA
Steirmärkisches Landesmuseum Joanneum;Alpengarten Rannach;;;Graz;ÖSTERREICH
Botanical Garden;University of California;;;Berkeley /CA 94720-5045;U.S.A.
Hortus Botanicus;Universitatis;;;Odessa;UKRAINA
Botanischer Garten;Universität für Bodenkultur;;;Wien;ÖSTERREICH
Biologisches Labor;Wilhelm E. Stemmer;;;Wien;ÖSTERREICH
BUNDESGÄRTEN;Alpengarten im Belvedere;;;Wien;ÖSTERREICH
Hortus Botanicus;Ivan Franko Lviv State University;;;Lviv;UKRAINA
Université Libre de Bruxelles;Jardin Experimental;Jean Massart;;Bruxelles;BELGIUM
Jardin alpin 'La Rambertia';Mme Bruny Monney;;;Blonay;SCHWEIZ
Korean National Arboretum;415 Kwangreung soomokwon-ro;Soheul-Up;;Gyeonggi-do, 487-821;Republic of Korea
Botanicka Zahrada;Botanical Garden Liberec;;;Liberec;CZECH REPUBLIC
Fred Spicer Superintendent of Horticulture;Morris County Park Commission;P.O.Box 1295;;Morristown / New Jersey 07962-1295;U.S.A.
Jardin Botanico Canario;'Viera y Clavijo';Cabildo de Gran Canaria;;Las Palmas de Gran Canaria;SPAIN / CANARY ISLANDS
Inst. of tropical & subtropical;Agriculture;Czech Agr. University Prague;;Prague 6 - Suchdol;CZECH REPUBLIC
Prazska Botanicka Zahrada;;;;Praha 7 - Troja;CZECH REPUBLIC
Jardin Botanique;Musée Jurassien des;Sciences Naturelles;;Porrentruy;SCHWEIZ
Holden Arboretum;Charles Tubesing;;;Kirtland, Ohio, 44094-5172;U.S.A.
Pyung Gang Botanical Garden;Sanjeong-Ri 668;Yeongbuk-myun,;;Kyeonggi-do;Republic of Korea
Commune de Meyrin;Mairie;Jardin Alpin;;Meyrin/Genève;SCHWEIZ
